CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1_School closing,C1_Flag,C1_Notes,C2_Workplace closing,C2_Flag,C2_Notes,C3_Cancel public events,C3_Flag,C3_Notes,C4_Restrictions on gatherings,C4_Flag,C4_Notes,C5_Close public transport,C5_Flag,C5_Notes,C6_Stay at home requirements,C6_Flag,C6_Notes,C7_Restrictions on internal movement,C7_Flag,C7_Notes,C8_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,H6_Facial Coverings,H6_Flag,H6_Notes,H7_Vaccination policy,H7_Flag,H7_Notes,H8_Protection of elderly people,H8_Flag,H8_Notes,M1_Wildcard,M1_Notes,V1_Vaccine Prioritisation (summary),V1_Notes,V2A_Vaccine Availability (summary),V2_Notes,V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V3_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
Israel,ISR,,,NAT_TOTAL,20220111,2.00,1,,2.00,1,,2.00,1,,3.00,1,,0.00,,,0.00,,,0.00,,,4.00,,2.00,1,,1.00,,,,,,2.00,1,,2.00,,2.00,,,,0.00,,2.00,1,,5.00,1,,2.00,1,,,,2,,3,,5-15 yrs,5-15 yrs,0,0,0,0,5,,1589099,8274,56.48,56.48,64.29,64.29,65.10,65.10,63.69,63.69,75.00,75.00
Israel,ISR,,,NAT_TOTAL,20220112,2.00,1,,2.00,1,,2.00,1,,3.00,1,,0.00,,,0.00,,,0.00,,,4.00,,2.00,1,,1.00,,,,,,2.00,1,,2.00,,2.00,,,,0.00,,2.00,1,,5.00,1,,2.00,1,,,"Changes to retail guidelines in 12 January revision of the Local Councils Traffic Light Model.    Retail National Guidance  General Guidance  •	Masking is required indoors and in case of a gathering of over 50 people outdoors  •	Violation of the guidance shall incur a fine    Malls and Commercial Centers  •	Activities subject to the Purple Badge scheme and gathering restrictions of up to 1 person per each 15 square meters    Food Courts and Food Stands in Malls  •	Green Pass is required for food stands and not required in indoor food courts  •	or  •	Green Pass is required for indoor food courts and not required in food stands    Small Stores  •	Stores whose surface area is smaller than 100 square meters  •	Gathering restriction at a ratio of one person per each 7 square meters, or up to 4 customers (whichever is higher)    Large Stores  •	Stores whose surface area is larger than 100 square meters, not including stores that provide essential services such as supermarkets and pharmacy chains  •	Gathering restriction at a ratio of one person per each 15 square meters    Activities subject to the Green Pass scheme  •	The following may be admitted to places that comply with the Green Pass scheme:  •	Vaccinated individuals, according to the Ministry of Health's definition  •	Recovered individuals, according to the Ministry of Health's definition  •	Those who received a negative result on a paid PCR test, effective for up to 72 hours from the date of testing  •	Children under 12 and 3 months who received a negative result on a PCR test taken as part of ""Magen Education"" program, effective for up to one week from the date of testing  •	Those who received a negative result on a rapid test taken up to 24 hours before arrival  •	The following are exempt from the Green Pass requirements:  •	Children under 3 years old  •	Children under 12 and 3 months who carry a certificate of disability from the National Insurance Institute of Israel    Source: https://archive.vn/KqgJR [Local Councils Traffic Light Model]",2,,3,,5-15 yrs,5-15 yrs,0,0,0,0,5,,1669622,8290,56.48,56.48,64.29,64.29,65.10,65.10,63.69,63.69,75.00,75.00
Israel,ISR,,,NAT_TOTAL,20220113,2.00,1,,2.00,1,,2.00,1,,3.00,1,,0.00,,,0.00,,,0.00,,,4.00,,2.00,1,,1.00,,,,,,2.00,1,,2.00,,2.00,,,,0.00,,2.00,1,,5.00,1,,2.00,1,,,"Mandatory isolation for COVID-19 cases shortened to 7 days (if the last three days are asymptomatic).     Source: https://archive.vn/Zb7H9 [Ministry of Health ]",2,,3,,5-15 yrs,5-15 yrs,0,0,0,0,5,,1695505,8293,56.48,56.48,64.29,64.29,65.10,65.10,63.69,63.69,75.00,75.00
Israel,ISR,,,NAT_TOTAL,20220114,2,1,,2,1,,2,1,,3,1,,0,,,0,,,0,,,4,,2,1,,1,,,,,,2,1,,2,,2,,,,0,,2,1,,5,1,,2,1,,,,2,,3,,5-15 yrs,5-15 yrs,0,0,0,0,5,,,,56.48,56.48,64.29,64.29,65.10,65.10,63.69,63.69,75.00,75.00
Israel,ISR,,,NAT_TOTAL,20220115,2,1,,2,1,,2,1,,3,1,,0,,,0,,,0,,,4,,2,1,,1,,,,,,2,1,,2,,2,,,,0,,2,1,,5,1,,2,1,,,,2,,3,,5-15 yrs,5-15 yrs,0,0,0,0,5,,,,56.48,56.48,64.29,64.29,65.10,65.10,63.69,63.69,75.00,75.00
Israel,ISR,,,NAT_TOTAL,20220116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48,,64.29,,65.10,,63.69,,75.00
Italy,ITA,,,NAT_TOTAL,20220101,2.00,1,,3.00,1,,2.00,1,,1.00,1,,2.00,1,,2.00,0,,2.00,0,,3.00,,1.00,1,,2.00,,,,,,2.00,1,,3.00,,2.00,,,,0.00,,3.00,1,,5.00,1,,3.00,1,,,,2,,3,,5-15 yrs,5-15 yrs,0,0,0,0,5,,6266939,137513,76.85,76.85,88.10,88.10,82.29,82.29,83.33,83.33,75.00,75.00
Italy,ITA,,,NAT_TOTAL,20220102,2.00,1,,3.00,1,,2.00,1,,1.00,1,,2.00,1,,2.00,0,,2.00,0,,3.00,,1.00,1,,2.00,,,,,,2.00,1,,3.00,,2.00,,,,0.00,,3.00,1,,5.00,1,,3.00,1,,,,2,,3,,5-15 yrs,5-15 yrs,0,0,0,0,5,,6328076,137646,76.85,76.85,88.10,88.10,82.29,82.29,83.33,83.33,75.00,75.00
Italy,ITA,,,NAT_TOTAL,20220103,2.00,1,"no changes in policy, green passes are still required for university students.    Starting September 1st green passes are required for School Personnel only. All students are exempted from this requirement for the time being until and including high school. University students though need to have green passes in order to access the facilities of their university. Universities hence are virtually closed for students without a green pass.    Starting Dec 6th a vaccine mandate is in place for all school personnel.   University students still need to hold a green pass to attend lessons in presence.    http://web.archive.org/web/20211210170128/https://www.wired.it/article/green-pass-scuola-universita-regole-vaccino-mezzi/",3.00,1,"no change in policy  since October 15th green passes are mandatory to all workers needing to enter most workplaces, hence such workplaces are virtually closed for those who don't have a green pass.  Super Green Pass (green pass only for the vaccinated or recovered from covid, tests are not part of such green pass) will not be required in most workplaces until Feb 15th. Vaccine mandates are only in place for healthcare workers, LTCF , law enforcement and school personnel.  From Dec 30th to Jan 31st Discos will remain closed.  https://web.archive.org/web/20211225114530/https://www.adnkronos.com/decreto-natale-2021-gazzetta-ufficiale-misure-in-vigore-da-oggi-25-dicembre_2rNEica7wfGueXqdc4pPve  https://web.archive.org/web/20211230163709/https://www.ilrestodelcarlino.it/cronaca/super-green-pass-lavoro-trasporti-1.7198595  https://web.archive.org/web/20220106183345/https://tg24.sky.it/cronaca/2022/01/06/covid-decreto-super-green-pass-dove-serve#04  https://web.archive.org/web/20211015175921/https://tg24.sky.it/cronaca/2021/10/15/green-pass-covid-oggi-15-ottobre-diretta    New directives for Green Pass in workplaces are summarized in this table: https://web.archive.org/web/20220102070246/https://www.governo.it/sites/governo.it/files/documenti/documenti/Notizie-allegati/tabella_attivita_consentite.pdf",2.00,1,"no new directives: people can attend public events only with a green pass if the event is in a closed space or cannot guarantee distancing  Additionally several events have been cancelled throughout Italy due to the increasing number of cases (mostly due to the Omicron variant).  https://web.archive.org/web/20211220123423/https://tg24.sky.it/cronaca/approfondimenti/covid-mercatini-natale-concertoni-capodanno-cancellati-italia#14  https://web.archive.org/web/20211203182517/https://unioneaddamartesana.it/ordinanze-e-decreti/",1.00,1,"No changes in policy  https://web.archive.org/web/20211203182517/https://unioneaddamartesana.it/ordinanze-e-decreti/  https://web.archive.org/web/20211027163954/https://www.ilrestodelcarlino.it/cronaca/green-pass-feste-private-1.6953512",2.00,1,"no change in policy  from Dec 6th directives require green passes for local public transport for everyone 12+.  http://web.archive.org/web/20211126180905/https://www.orizzontescuola.it/green-pass-per-studenti-over-12-che-si-recano-a-scuola-con-i-mezzi-pubblici-tanti-i-dubbi/  https://web.archive.org/web/20211216150703/https://www.autoblog.it/post/stato-demergenza-fino-al-31-marzo-2022-super-green-pass-le-regole-per-i-trasporti  http://web.archive.org/web/20211207075547/https://tg24.sky.it/cronaca/2021/12/07/green-pass-studenti-trasporti    New directives for Green Pass and public transport are summarized in this table: https://web.archive.org/web/20220102070246/https://www.governo.it/sites/governo.it/files/documenti/documenti/Notizie-allegati/tabella_attivita_consentite.pdf",2.00,0,"several local orange zones in Sicily, in such zones curfews are in place and no exemptions apply for curfews.  Regions that are classified as Yellow zones are increasing in number. In Yellow zones no curfews are in place.  Some Italian regions are still classified as white zones.  A new summary table has been created to clearly explain which activities are possible in every zone from Dec 6th to Jan 15 with or without a Green Pass (negative test, vaccinated or fully recovered) or a Super Green Pass (only vaccinated or fully recovered from Covid):   https://web.archive.org/web/20220102070246/https://www.governo.it/sites/governo.it/files/documenti/documenti/Notizie-allegati/tabella_attivita_consentite.pdf    https://web.archive.org/web/20220107172249/https://www.qualitytravel.it/colori-regioni-covid-19-le-nuove-zone-rosse-arancioni-gialle-e-bianche-dal-22-marzo/92843",2.00,0,"several local orange zones in Sicily, in such zones movement outside of the zone is prohibited with exceptions for green pass holders.  Regions that are classified as Yellow zones are increasing in number. In Yellow zones no restrictions for movement outside the zone are in place.  Some Italian regions are still classified as white zones.  A new summary table has been created to clearly explain which activities are possible in every zone from Dec 6th to Jan 15 with or without a Green Pass (negative test, vaccinated or fully recovered) or a Super Green Pass (only vaccinated or fully recovered from Covid):   https://web.archive.org/web/20220102070246/https://www.governo.it/sites/governo.it/files/documenti/documenti/Notizie-allegati/tabella_attivita_consentite.pdf    https://web.archive.org/web/20220107172249/https://www.qualitytravel.it/colori-regioni-covid-19-le-nuove-zone-rosse-arancioni-gialle-e-bianche-dal-22-marzo/92843",3.00,"travel restrictions still in place for South Africa.  For most countries it is mandatory to exhibit a negative test (antigen or PCR).  https://web.archive.org/web/20220107173316/https://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5411&area=nuovoCoronavirus&menu=vuoto",1.00,1,"new funds have been established to help workers (cassa integrazione has been replaced by FIS, a fund to integrate the income of workers)  https://web.archive.org/web/20211230084427/https://www.fiscoetasse.com/approfondimenti/14524-fis-e-fondi-di-solidarieta-2022-cosa-cambia.html  https://web.archive.org/web/20220101162303/https://www.ansa.it/sito/notizie/politica/2021/12/29/nuova-irpef-bollette-superbonus-ecco-la-manovra_7ae9fc21-507e-4021-8d47-16f959f5aac0.html",2.00,"new funds have been established for debt relief, such as restaurants won't have to pay taxes for using outside spaces (owned by the government/municipalities) until the end of Marc 2022  https://web.archive.org/web/20220101162303/https://www.ansa.it/sito/notizie/politica/2021/12/29/nuova-irpef-bollette-superbonus-ecco-la-manovra_7ae9fc21-507e-4021-8d47-16f959f5aac0.html",,,,,2.00,1,"https://web.archive.org/web/20220107174423/https://www.salute.gov.it/portale/nuovocoronavirus/homeNuovoCoronavirus.html",3.00,"LFT are still generally available in pharmacies and supermarkets and the prices have been fixed to a max price since starting Oct 15th a green pass is required in all workplaces    https://web.archive.org/web/20211215184152/https://www.ipsoa.it/documents/lavoro-e-previdenza/amministrazione-del-personale/quotidiano/2021/12/15/prorogato-stato-emergenza-marzo-2022-cambia-smart-working-congedi-parentali  https://web.archive.org/web/20210924165904/https://www.altroconsumo.it/salute/dal-medico/news/tamponi-a-prezzo-calmierato",2.00,"Although the methodology to perform contact tracing has not changed (all close contacts need to be tested or self-quarantine if they don't want to be tested), since the end of December contact tracing has been struggling to trace all close contacts of positives. With very high positive numbers (around 219000 on January 6th) and over a million tests performed most days, the tracing methodology is struggling to function and test everyone: long queues have been forming to get tested as well as long delays to get the results.  It seems the tracing methodology is still comprehensive though so marking as such  https://web.archive.org/web/20211228213909/https://gazzettadelsud.it/articoli/cronaca/2021/12/28/covid-tracciamento-dei-contatti-e-file-per-i-tamponi-il-sistema-e-andato-in-tilt-0f087917-40ef-4c83-8530-840469ae6f48/   https://web.archive.org/web/20220106175030/https://www.offida.info/covid-record-di-contagi-in-italia-e-nelle-marche/",,,0.00,,3.00,1,"From Dec 25th to Jan 31st a mask mandate is in place throughout Italy such that masks are required in all public spaces  https://web.archive.org/web/20211225114530/https://www.adnkronos.com/decreto-natale-2021-gazzetta-ufficiale-misure-in-vigore-da-oggi-25-dicembre_2rNEica7wfGueXqdc4pPve",5.00,1,"since Dec 16th vaccinations have been extended to children 5-11 hence vaccinations are now available to everyone 5+ and are government funded.  booster doses administration in progress for everyone 18+ starting Dec 1st.  https://web.archive.org/web/20211207225330/https://tg24.sky.it/cronaca/approfondimenti/dati-vaccini-covid-italia  https://web.archive.org/web/20211215160648/https://www.adnkronos.com/vaccino-bambini-5-11-anni-primi-5-vaccinati-a-spallanzani_JGYLYp31KYUAiby6TZnAU",3.00,1,"green passes required for visiting in LTCF (RSA in Italian)  https://web.archive.org/web/20211029170716/https://www.ipsoa.it/documents/impresa/contratti-dimpresa/quotidiano/2021/10/02/green-pass-obbligatorio-accesso-mezzi-trasporto-rsa-universita  http://web.archive.org/web/20210923000823/https://www.ilsole24ore.com/art/decreto-green-pass-ok-diritto-visite-giornaliere-pazienti-rsa-AEtG73i    In many regions antigen tests are free for those who want to visit relatives in LTCF (RSA)  https://web.archive.org/web/20211112154409/https://www.ats-brianza.it/it/azienda/news-online/2412-test-tampone-per-familiari-e-visitatori-presso-le-strutture-residenziali-della-rete-territoriale.html",,,2,"everyone 5+ is eligible to being vaccinated. Since Dec 16th everyone 5+ is now also being effectively vaccinated.    since Dec 1st, categories eligible to 3rd doses/booster doses (after 5 months since last administration):  - 5+ years old  - healthcare workers  - fragile people 18+  - personnel and people leaving in long term care facilities    Since Jan 5th, booster dose administration is extended to everyone 12+.  https://web.archive.org/web/20220107173209/https://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5452&area=nuovoCoronavirus&menu=vuoto",3,"Since Dec 16th everyone 5+ is now also being effectively vaccinated.  https://web.archive.org/web/20211215160648/https://www.adnkronos.com/vaccino-bambini-5-11-anni-primi-5-vaccinati-a-spallanzani_JGYLYp31KYUAiby6TZnAU",5-15 yrs,5-15 yrs,0,0,0,0,5,"Vaccines are free, government funded  https://web.archive.org/web/20211122165111/https://www.ilfattoquotidiano.it/2021/10/21/speranza-tamponi-gratis-no-il-vaccino-e-gratuito-ed-e-la-chiave-fondamentale-per-uscire-dalla-pandemia/6362503/",6396110,137786,76.85,76.85,88.10,88.10,82.29,82.29,83.33,83.33,75.00,75.00
Italy,ITA,,,NAT_TOTAL,20220104,2.00,1,,3.00,1,,2.00,1,,1.00,1,,2.00,1,,2.00,0,,2.00,0,,3.00,,1.00,1,,2.00,,,,,,2.00,1,,3.00,,2.00,,,,0.00,,3.00,1,,5.00,1,,3.00,1,,,,2,,3,,5-15 yrs,5-15 yrs,0,0,0,0,5,,6566947,138045,76.85,76.85,88.10,88.10,82.29,82.29,83.33,83.33,75.00,75.00
Italy,ITA,,,NAT_TOTAL,20220105,2.00,1,,3.00,1,,2.00,1,,1.00,1,,2.00,1,,2.00,0,,2.00,0,,3.00,,1.00,1,,2.00,,,,,,2.00,1,,3.00,,2.00,,,,0.00,,3.00,1,,5.00,1,,3.00,1,,,,2,,3,,5-15 yrs,5-15 yrs,0,0,0,0,5,,6756035,138276,76.85,76.85,88.10,88.10,82.29,82.29,83.33,83.33,75.00,75.00
Italy,ITA,,,NAT_TOTAL,20220106,2.00,1,,3.00,1,,2.00,1,,1.00,1,,2.00,1,,2.00,0,,2.00,0,,3.00,,1.00,1,,2.00,,,,,,2.00,1,,3.00,,2.00,,,,0.00,,3.00,1,,5.00,1,,3.00,1,,,,2,,3,,5-15 yrs,5-15 yrs,0,0,0,0,5,,6975465,138474,76.85,76.85,88.10,88.10,82.29,82.29,83.33,83.33,75.00,75.00
Italy,ITA,,,NAT_TOTAL,20220107,2.00,1,,3.00,1,,2.00,1,,1.00,1,,2.00,1,,2.00,0,,2.00,0,,3.00,,1.00,1,,2.00,,,,,,2.00,1,,3.00,,2.00,,,,0.00,,3.00,1,,5.00,1,,3.00,1,,,,2,,3,,5-15 yrs,5-15 yrs,0,0,0,0,5,,7083762,138697,76.85,76.85,88.10,88.10,82.29,82.29,83.33,83.33,75.00,75.00
Italy,ITA,,,NAT_TOTAL,20220108,2.00,1,,3.00,1,,2.00,1,,1.00,1,,2.00,1,,2.00,0,,2.00,0,,3.00,,1.00,1,,2.00,,,,,,2.00,1,,3.00,,2.00,,,,0.00,,3.00,1,,5.00,1,,3.00,1,,,,2,"everyone 5+ is eligible to being vaccinated. Since Dec 16th everyone 5+ is now also being effectively vaccinated.    since Dec 1st, categories eligible to 3rd doses/booster doses (after 5 months since last administration):  - 5+ years old  - healthcare workers  - fragile people 18+  - personnel and people leaving in long term care facilities    Since Jan 5th, booster dose administration is extended to everyone 12+.  https://web.archive.org/web/20220107173209/https://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5452&area=nuovoCoronavirus&menu=vuoto",3,"Since Dec 16th everyone 5+ is now also being effectively vaccinated.  https://web.archive.org/web/20211215160648/https://www.adnkronos.com/vaccino-bambini-5-11-anni-primi-5-vaccinati-a-spallanzani_JGYLYp31KYUAiby6TZnAU",5-15 yrs,5-15 yrs,0,0,0,0,5,"vaccine is funded by the government and free",7281297,138881,76.85,76.85,88.10,88.10,82.29,82.29,83.33,83.33,75.00,75.00
Italy,ITA,,,NAT_TOTAL,20220109,2.00,1,,3.00,1,,2.00,1,,1.00,1,,2.00,1,,2.00,0,,2.00,0,,3.00,,1.00,1,,2.00,,,,,,2.00,1,,3.00,,2.00,,,,0.00,,3.00,1,,5.00,1,,3.00,1,,,,2,,3,,5-15 yrs,5-15 yrs,0,0,0,0,5,,7436939,139038,76.85,76.85,88.10,88.10,82.29,82.29,83.33,83.33,75.00,75.00
Italy,ITA,,,NAT_TOTAL,20220110,2.00,1,"no changes in policy, green passes are still required for university students.    Starting September 1st green passes are required for School Personnel only. All students are exempted from this requirement for the time being until and including high school. University students though need to have green passes in order to access the facilities of their university. Universities hence are virtually closed for students without a green pass.    Starting Dec 6th a vaccine mandate is in place for all school personnel.   University students still need to hold a green pass to attend lessons in presence.  https://web.archive.org/web/20220113115732/https://www.ilgiorno.it/cronaca/covid-obbligo-vaccini-lavoro-scuola-green-pass-1.7240336  http://web.archive.org/web/20211210170128/https://www.wired.it/article/green-pass-scuola-universita-regole-vaccino-mezzi/",3.00,1,"Green passes are mandatory to all workers needing to enter most workplaces, hence such workplaces are virtually closed for those who don't have a green pass.  Super Green Pass (green pass only for the vaccinated or recovered from covid, tests are not part of such green pass) will be required in most workplaces starting Feb 15th.   https://web.archive.org/web/20220113115732/https://www.ilgiorno.it/cronaca/covid-obbligo-vaccini-lavoro-scuola-green-pass-1.7240336    Vaccine mandates are already in place only for healthcare workers, and LTCF, law enforcement and school personnel.    From Dec 30th to Jan 31st Discos will remain closed.  https://web.archive.org/web/20211225114530/https://www.adnkronos.com/decreto-natale-2021-gazzetta-ufficiale-misure-in-vigore-da-oggi-25-dicembre_2rNEica7wfGueXqdc4pPve  https://web.archive.org/web/20211230163709/https://www.ilrestodelcarlino.it/cronaca/super-green-pass-lavoro-trasporti-1.7198595  https://web.archive.org/web/20220106183345/https://tg24.sky.it/cronaca/2022/01/06/covid-decreto-super-green-pass-dove-serve#04  https://web.archive.org/web/20211015175921/https://tg24.sky.it/cronaca/2021/10/15/green-pass-covid-oggi-15-ottobre-diretta    Directives for Green Pass in workplaces are summarized in this table: https://web.archive.org/web/20220102070246/https://www.governo.it/sites/governo.it/files/documenti/documenti/Notizie-allegati/tabella_attivita_consentite.pdf",2.00,1,"no new directives: people can attend public events only with a green pass if the event is in a closed space or cannot guarantee distancing    https://web.archive.org/web/20211203182517/https://unioneaddamartesana.it/ordinanze-e-decreti/",1.00,1,"No changes in policy  https://web.archive.org/web/20220114181739/https://unioneaddamartesana.it/ordinanze-e-decreti/  https://web.archive.org/web/20211027163954/https://www.ilrestodelcarlino.it/cronaca/green-pass-feste-private-1.6953512",2.00,1,"From Jan 10th  for local public transport for everyone 12+ directives require travelers to exhibit a Super Green Pass (as a proof of vaccination or being recovered from Covid).  https://web.archive.org/web/20220111225241/https://www.ilrestodelcarlino.it/cronaca/green-pass-trasporti-scuolabus-1.7232508  https://web.archive.org/web/20211216150703/https://www.autoblog.it/post/stato-demergenza-fino-al-31-marzo-2022-super-green-pass-le-regole-per-i-trasporti    New directives for Green Pass and public transport are summarized in this table: https://web.archive.org/web/20220102070246/https://www.governo.it/sites/governo.it/files/documenti/documenti/Notizie-allegati/tabella_attivita_consentite.pdf",2.00,0,"several local orange zones in Sicily, in such zones curfews are in place and no exemptions apply for curfews.  Regions that are classified as Yellow zones are increasing in number. In Yellow zones no curfews are in place.  Some Italian regions are still classified as white zones.  A new summary table has been created to clearly explain which activities are possible in every zone from Dec 6th to Jan 15 with or without a Green Pass (negative test, vaccinated or fully recovered) or a Super Green Pass (only vaccinated or fully recovered from Covid):   https://web.archive.org/web/20220102070246/https://www.governo.it/sites/governo.it/files/documenti/documenti/Notizie-allegati/tabella_attivita_consentite.pdf    https://web.archive.org/web/20220114182938/https://www.qualitytravel.it/colori-regioni-covid-19-le-nuove-zone-rosse-arancioni-gialle-e-bianche-dal-22-marzo/92843",2.00,0,"several local orange zones in Sicily, in such zones movement outside of the zone is prohibited with exceptions for green pass holders.  Regions that are classified as Yellow zones are increasing in number. In Yellow zones no restrictions for movement outside the zone are in place.  Some Italian regions are still classified as white zones.  A new summary table has been created to clearly explain which activities are possible in every zone from Dec 6th to Jan 15 with or without a Green Pass (negative test, vaccinated or fully recovered) or a Super Green Pass (only vaccinated or fully recovered from Covid):   https://web.archive.org/web/20220102070246/https://www.governo.it/sites/governo.it/files/documenti/documenti/Notizie-allegati/tabella_attivita_consentite.pdf    https://web.archive.org/web/20220114182938/https://www.qualitytravel.it/colori-regioni-covid-19-le-nuove-zone-rosse-arancioni-gialle-e-bianche-dal-22-marzo/92843",3.00,"travel restrictions have ceased for South Africa.  For most countries it is mandatory to exhibit a negative test (antigen or PCR).  https://web.archive.org/web/20220114042111/https://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=italiano&id=5411&area=nuovoCoronavirus&menu=vuoto",1.00,1,"new funds have been established to help workers (cassa integrazione has been replaced by FIS, a fund to integrate the income of workers)  https://web.archive.org/web/20211230084427/https://www.fiscoetasse.com/approfondimenti/14524-fis-e-fondi-di-solidarieta-2022-cosa-cambia.html  https://web.archive.org/web/20220101162303/https://www.ansa.it/sito/notizie/politica/2021/12/29/nuova-irpef-bollette-superbonus-ecco-la-manovra_7ae9fc21-507e-4021-8d47-16f959f5aac0.html",2.00,"new funds have been established for debt relief, such as restaurants won't have to pay taxes for using outside spaces (owned by the government/municipalities) until the end of March 2022  https://web.archive.org/web/20220101162303/https://www.ansa.it/sito/notizie/politica/2021/12/29/nuova-irpef-bollette-superbonus-ecco-la-manovra_7ae9fc21-507e-4021-8d47-16f959f5aac0.html",,,,,2.00,1,"https://web.archive.org/web/20220107174423/https://www.salute.gov.it/portale/nuovocoronavirus/homeNuovoCoronavirus.html",3.00,"LFT are still generally available in pharmacies and supermarkets and the prices have been fixed to a max price since starting Oct 15th a green pass is required in all workplaces    https://web.archive.org/web/20211215184152/https://www.ipsoa.it/documents/lavoro-e-previdenza/amministrazione-del-personale/quotidiano/2021/12/15/prorogato-stato-emergenza-marzo-2022-cambia-smart-working-congedi-parentali  https://web.archive.org/web/20210924165904/https://www.altroconsumo.it/salute/dal-medico/news/tamponi-a-prezzo-calmierato",2.00,"Although the methodology to perform contact tracing has not changed (all close contacts need to be tested or self-quarantine if they don't want to be tested), since the end of December contact tracing has been struggling to trace all close contacts of positives. With very high positive numbers (around 219000 on January 6th) and over a million tests performed most days, the tracing methodology is struggling to function and test everyone: long queues have been forming to get tested as well as long delays to get the results.  It seems the tracing methodology is still comprehensive though so marking as such  https://web.archive.org/web/20211228213909/https://gazzettadelsud.it/articoli/cronaca/2021/12/28/covid-tracciamento-dei-contatti-e-file-per-i-tamponi-il-sistema-e-andato-in-tilt-0f087917-40ef-4c83-8530-840469ae6f48/   https://web.archive.org/web/20220106175030/https://www.offida.info/covid-record-di-contagi-in-italia-e-nelle-marche/",,,0.00,,3.00,1,"From Dec 25th to Jan 31st a mask mandate is in place throughout Italy such that masks are required in all public spaces  https://web.archive.org/web/20211225114530/https://www.adnkronos.com/decreto-natale-2021-gazzetta-ufficiale-misure-in-vigore-da-oggi-25-dicembre_2rNEica7wfGueXqdc4pPve",5.00,1,"since Dec 16th vaccinations have been extended to children 5-11 hence vaccinations are now available to everyone 5+ and are government funded.  booster doses administration in progress for everyone 18+ starting Dec 1st.  https://web.archive.org/web/20211207225330/https://tg24.sky.it/cronaca/approfondimenti/dati-vaccini-covid-italia  https://web.archive.org/web/20211215160648/https://www.adnkronos.com/vaccino-bambini-5-11-anni-primi-5-vaccinati-a-spallanzani_JGYLYp31KYUAiby6TZnAU",3.00,1,"green passes required for visiting in LTCF (RSA in Italian)  https://web.archive.org/web/20211029170716/https://www.ipsoa.it/documents/impresa/contratti-dimpresa/quotidiano/2021/10/02/green-pass-obbligatorio-accesso-mezzi-trasporto-rsa-universita  http://web.archive.org/web/20210923000823/https://www.ilsole24ore.com/art/decreto-green-pass-ok-diritto-visite-giornaliere-pazienti-rsa-AEtG73i    In many regions antigen tests are free for those who want to visit relatives in LTCF (RSA)  https://web.archive.org/web/20211112154409/https://www.ats-brianza.it/it/azienda/news-online/2412-test-tampone-per-familiari-e-visitatori-presso-le-strutture-residenziali-della-rete-territoriale.html",,,2,,3,,5-15 yrs,5-15 yrs,0,0,0,0,5,,7554344,139265,76.85,76.85,88.10,88.10,82.29,82.29,83.33,83.33,75.00,75.00
Italy,ITA,,,NAT_TOTAL,20220111,2.00,1,,3.00,1,,2.00,1,,1.00,1,,2.00,1,,2.00,0,,2.00,0,,3.00,,1.00,1,,2.00,,,,,,2.00,1,,3.00,,2.00,,,,0.00,,3.00,1,,5.00,1,,3.00,1,,,,2,,3,,5-15 yrs,5-15 yrs,0,0,0,0,5,,7774863,139559,76.85,76.85,88.10,88.10,82.29,82.29,83.33,83.33,75.00,75.00
Italy,ITA,,,NAT_TOTAL,20220112,2.00,1,,3.00,1,,2.00,1,,1.00,1,,2.00,1,,2.00,0,,2.00,0,,3.00,,1.00,1,,2.00,,,,,,2.00,1,,3.00,,2.00,,,,0.00,,3.00,1,,5.00,1,,3.00,1,,,,2,,3,,5-15 yrs,5-15 yrs,0,0,0,0,5,,7971068,139872,76.85,76.85,88.10,88.10,82.29,82.29,83.33,83.33,75.00,75.00
